    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.21 1.6245067735245736e+16       15 0.0181524140533016 0.006054373348432906      1.73m
   1    25.54 418683.0104800829       13 0.008639782839950278 0.3585705332930749      1.78m
   2     14.2 17479804.8140301       17 0.010153307417338178 0.35094208295937135      1.61m
   3     9.64 6017.119467755551        5 0.008034310571020366 0.3718060068283312      1.45m
   4     9.12 1474.8347378598896       13 0.005845059725118091 0.0041349757062429885      1.31m
   5     11.2 13833.48659908618       11 0.0047850682754100584 0.0814212111709626      1.23m
   6    11.86 4477848.4189081965       21 0.0041619445182489185 0.016224097378044183      1.18m
   7    10.93 492489.21614121005       11 0.004194783636240984 0.033011211863112594      1.12m
   8    10.07 6917906832.648002       11 0.004096922028500874 0.029199268694604652      1.07m
   9     9.39 76776358.07808977        9 0.004032529135070955 0.038005256560909605      1.01m
  10     9.08 232315.90754030037        9 0.003977656809892876 0.016664976100101894     56.86s
  11     9.12 46035.595996166565        9 0.0035337544845924066 0.02487716911816059     53.13s
  12      9.0 55313.5182400311        9 0.0031607501971117344 0.03177774843655304     49.42s
  13     9.07 401173.0568254044        9 0.0031607501971117344 0.03177774843655304     45.47s
  14      9.1 621266.0540146026        9 0.0031607501971117344 0.03177774843655304     41.51s
  15      9.1 243803.3609184562        9 0.0031607501971117344 0.03177774843655304     37.51s
  16     9.03 129108.84450201054        9 0.0031607501971117344 0.03177774843655304     33.52s
  17     9.23 228390.1849819613        9 0.0031607501971117344 0.03177774843655304     29.37s
  18     9.09 19374.096438248278        9 0.0031607501971117344 0.03177774843655304     25.25s
  19     9.06 232081.98799820567        9 0.0031607501971117344 0.03177774843655304     21.10s
  20      9.0 4444.993365060005        9 0.0031607501971117344 0.03177774843655304     16.91s
  21     8.98 41911756.70729806        9 0.0031607501971117344 0.03177774843655304     12.71s
  22     9.04 1028317653.0962199        9 0.0031607501971117344 0.03177774843655304      8.50s
  23     9.07 5863093.741929076        9 0.0031607501971117344 0.03177774843655304      4.26s
  24     9.03 635888.0086571962        9 0.0031607501971117344 0.03177774843655304      0.00s
